1,10,81,2
2,81,80,3
3,80,79,4
4,79,78,5
5,78,77,6
6,77,76,7
7,76,75,8
8,75,11,9
10,12,74,81
81,74,73,80
80,73,72,79
79,72,71,78
78,71,70,77
77,70,69,76
76,69,68,75
75,68,13,11
12,14,67,74
74,67,66,73
73,66,65,72
72,65,64,71
71,64,63,70
70,63,62,69
69,62,61,68
68,61,15,13
14,16,60,67
67,60,59,66
66,59,58,65
65,58,57,64
64,57,56,63
63,56,55,62
62,55,54,61
61,54,17,15
16,18,53,60
60,53,52,59
59,52,51,58
58,51,50,57
57,50,49,56
56,49,48,55
55,48,47,54
54,47,19,17
18,20,46,53
53,46,45,52
52,45,44,51
51,44,43,50
50,43,42,49
49,42,41,48
48,41,40,47
47,40,21,19
20,22,39,46
46,39,38,45
45,38,37,44
44,37,36,43
43,36,35,42
42,35,34,41
41,34,33,40
40,33,23,21
22,24,25,39
39,25,26,38
38,26,27,37
37,27,28,36
36,28,29,35
35,29,30,34
34,30,31,33
33,31,32,23
