178,150,376;326,178,376;326,376,150;150,178,326
201,199,176;326,201,176;326,176,199;199,201,326
178,201,176;326,178,176;326,176,201;201,178,326
150,178,176;326,150,176;326,176,178;178,150,326
178,376,319;326,178,319;326,319,376;376,178,326
176,199,333;326,176,333;326,333,199;199,176,326
319,376,370;326,319,370;326,370,376;376,319,326
319,313,370;312,319,370;312,370,313;313,319,312
305,353,346;312,305,346;312,346,353;353,305,312
298,305,346;312,298,346;312,346,305;305,298,312
364,372,363;420,364,363;420,363,372;372,364,420
372,364,363;321,372,363;321,363,364;364,372,321
283,255,249;256,283,249;256,249,255;255,283,256
481,100,424;126,481,424;126,424,100;100,481,126
255,249,253;250,255,253;250,253,249;249,255,250
249,255,253;256,249,253;256,253,255;255,249,256
188,193,212;339,188,212;339,212,193;193,188,339
174,333,148;199,174,148;199,148,333;333,174,199
333,176,148;199,333,148;199,148,176;176,333,199
353,346,184;305,353,184;305,184,346;346,353,305
100,481,98;126,100,98;126,98,481;481,100,126
440,91,495;94,440,495;94,495,91;91,440,94
440,495,124;94,440,124;94,124,495;495,440,94
440,382,432;381,440,432;381,432,382;382,440,381
494,440,432;381,494,432;381,432,440;440,494,381
494,495,432;440,494,432;440,432,495;495,494,440
495,494,432;488,495,432;488,432,494;494,495,488
481,488,432;423,481,432;423,432,488;488,481,423
495,488,432;481,495,432;481,432,488;488,495,481
149,175,389;143,149,389;143,389,175;175,149,143
382,440,389;381,382,389;381,389,440;440,382,381
382,149,389;440,382,389;440,389,149;149,382,440
546,539,540;581,546,540;581,540,539;539,546,581
495,494,501;440,495,501;440,501,494;494,495,440
91,495,501;440,91,501;440,501,495;495,91,440
495,91,501;94,495,501;94,501,91;91,495,94
304,187,208;185,304,208;185,208,187;187,304,185
98,481,96;126,98,96;126,96,481;481,98,126
124,495,96;94,124,96;94,96,495;495,124,94
388,170,144;143,388,144;143,144,170;170,388,143
388,336,144;170,388,144;170,144,336;336,388,170
336,171,144;170,336,144;170,144,171;171,336,170
548,58,549;36,548,549;36,549,58;58,548,36
200,175,197;290,200,197;290,197,175;175,200,290
305,319,360;312,305,360;312,360,319;319,305,312
353,305,360;312,353,360;312,360,305;305,353,312
305,298,272;312,305,272;312,272,298;298,305,312
319,305,272;312,319,272;312,272,305;305,319,312
298,313,272;312,298,272;312,272,313;313,298,312
313,319,272;312,313,272;312,272,319;319,313,312
306,313,272;298,306,272;298,272,313;313,306,298
196,174,291;173,196,291;173,291,174;174,196,173
333,174,291;199,333,291;199,291,174;174,333,199
539,546,498;581,539,498;581,498,546;546,539,581
539,540,498;546,539,498;546,498,540;540,539,546
336,144,390;388,336,390;388,390,144;144,336,388
171,144,390;336,171,390;336,390,144;144,171,336
539,497,443;491,539,443;491,443,497;497,539,491
5,583,584;3,5,584;3,584,583;583,5,3
569,570,584;563,569,584;563,584,570;570,569,563
557,583,584;5,557,584;5,584,583;583,557,5
558,557,584;563,558,584;563,584,557;557,558,563
583,557,584;558,583,584;558,584,557;557,583,558
303,310,358;304,303,358;304,358,310;310,303,304
351,303,358;304,351,358;304,358,303;303,351,304
346,184,160;353,346,160;353,160,184;184,346,353
346,160,400;353,346,400;353,400,160;160,346,353
557,558,517;563,557,517;563,517,558;558,557,563
416,129,407;127,416,407;127,407,129;129,416,127
400,160,407;353,400,407;353,407,160;160,400,353
556,557,562;27,556,562;27,562,557;557,556,27
584,557,562;563,584,562;563,562,557;557,584,563
557,584,562;27,557,562;27,562,584;584,557,27
557,517,562;563,557,562;563,562,517;517,557,563
517,557,562;556,517,562;556,562,557;557,517,556
569,584,562;563,569,562;563,562,584;584,569,563
587,12,576;569,587,576;569,576,12;12,587,569
587,577,576;12,587,576;12,576,577;577,587,12
570,587,576;569,570,576;569,576,587;587,570,569
577,587,576;570,577,576;570,576,587;587,577,570
211,191,295;214,211,295;214,295,191;191,211,214
214,191,295;192,214,295;192,295,191;191,214,192
391,109,141;140,391,141;140,141,109;109,391,140
109,391,141;110,109,141;110,141,391;391,109,110
137,141,394;110,137,394;110,394,141;141,137,110
141,391,394;110,141,394;110,394,391;391,141,110
83,109,504;82,83,504;82,504,109;109,83,82
109,112,504;82,109,504;82,504,112;112,109,82
