1321,1186,1201;1321,1186,1172;1321,1201,1172;1172,1186,1201
1309,1174,1175;1309,1174,1294;1309,1175,1294;1294,1174,1175
1309,1190,1310;1309,1190,1295;1309,1310,1295;1295,1190,1310
1309,1190,1175;1309,1190,1189;1309,1175,1189;1189,1190,1175
1309,1294,1175;1309,1294,1295;1309,1175,1295;1295,1294,1175
1309,1175,1190;1309,1175,1295;1309,1190,1295;1295,1175,1190
1309,1175,1174;1309,1175,1189;1309,1174,1189;1189,1175,1174
1309,1173,1188;1309,1173,1189;1309,1188,1189;1189,1173,1188
1309,1308,1188;1309,1308,1173;1309,1188,1173;1173,1308,1188
1309,1174,1173;1309,1174,1189;1309,1173,1189;1189,1174,1173
1309,1174,1294;1309,1174,1173;1309,1294,1173;1173,1174,1294
1309,1293,1308;1309,1293,1173;1309,1308,1173;1173,1293,1308
1309,1294,1293;1309,1294,1173;1309,1293,1173;1173,1294,1293
1414,1295,1310;1414,1295,1430;1414,1310,1430;1430,1295,1310
1414,1294,1310;1414,1294,1295;1414,1310,1295;1295,1294,1310
1414,1415,1295;1414,1415,1430;1414,1295,1430;1430,1415,1295
1414,1310,1429;1414,1310,1430;1414,1429,1430;1430,1310,1429
1414,1294,1309;1414,1294,1310;1414,1309,1310;1310,1294,1309
1414,1309,1429;1414,1309,1310;1414,1429,1310;1310,1309,1429
1534,1535,1415;1534,1535,1430;1534,1415,1430;1430,1535,1415
1534,1549,1550;1534,1549,1430;1534,1550,1430;1430,1549,1550
1534,1550,1535;1534,1550,1430;1534,1535,1430;1430,1550,1535
1534,1429,1549;1534,1429,1430;1534,1549,1430;1430,1429,1549
1534,1415,1429;1534,1415,1430;1534,1429,1430;1430,1415,1429
1534,1414,1429;1534,1414,1415;1534,1429,1415;1415,1414,1429
1534,1550,1549;1534,1550,1670;1534,1549,1670;1670,1550,1549
1534,1535,1550;1534,1535,1670;1534,1550,1670;1670,1535,1550
1534,1654,1655;1534,1654,1670;1534,1655,1670;1670,1654,1655
1534,1655,1535;1534,1655,1670;1534,1535,1670;1670,1655,1535
1534,1549,1669;1534,1549,1670;1534,1669,1670;1670,1549,1669
1534,1669,1654;1534,1669,1670;1534,1654,1670;1670,1669,1654
1862,1742,1743;1862,1742,1727;1862,1743,1727;1727,1742,1743
1862,1863,1848;1862,1863,1743;1862,1848,1743;1743,1863,1848
1862,1743,1728;1862,1743,1727;1862,1728,1727;1727,1743,1728
1862,1728,1848;1862,1728,1727;1862,1848,1727;1727,1728,1848
1862,1848,1728;1862,1848,1743;1862,1728,1743;1743,1848,1728
1862,1848,1847;1862,1848,1727;1862,1847,1727;1727,1848,1847
1865,1759,1760;1865,1759,1745;1865,1760,1745;1745,1759,1760
1865,1744,1864;1865,1744,1759;1865,1864,1759;1759,1744,1864
1865,1744,1759;1865,1744,1745;1865,1759,1745;1745,1744,1759
1865,1864,1879;1865,1864,1759;1865,1879,1759;1759,1864,1879
1865,1879,1760;1865,1879,1759;1865,1760,1759;1759,1879,1760
1865,1879,1880;1865,1879,1760;1865,1880,1760;1760,1879,1880
2012,1893,1892;2012,1893,1907;2012,1892,1907;1907,1893,1892
