4,13,10,1;1,10,11,2;10,13,27,11;13,4,5,27;4,1,2,5;2,11,27,5
5,27,11,2;2,11,12,3;11,27,14,12;27,5,6,14;5,2,3,6;3,12,14,6
7,15,13,4;4,13,27,5;13,15,16,27;15,7,8,16;7,4,5,8;5,27,16,8
8,16,27,5;5,27,14,6;27,16,17,14;16,8,9,17;8,5,6,9;6,14,17,9
13,21,18,10;10,18,19,11;18,21,22,19;21,13,27,22;13,10,11,27;11,19,22,27
27,22,19,11;11,19,20,12;19,22,23,20;22,27,14,23;27,11,12,14;12,20,23,14
15,24,21,13;13,21,22,27;21,24,25,22;24,15,16,25;15,13,27,16;27,22,25,16
16,25,22,27;27,22,23,14;22,25,26,23;25,16,17,26;16,27,14,17;14,23,26,17
