363,355,440,439
431,496,503,439
431,503,440,439
431,440,355,439
448,363,440,439
430,496,431,439
371,363,448,439
371,456,448,457
401,392,466,457
401,466,475,457
380,369,379,294
380,379,369,446
584,564,507,563
290,215,205,289
571,584,564,585
571,564,584,563
542,488,483,410
346,430,424,496
346,431,430,496
467,401,392,466
204,205,215,289
187,177,270,186
278,187,270,186
280,357,270,358
280,270,188,358
280,187,188,270
280,188,187,196
280,196,205,291
280,196,187,205
348,425,347,340
348,270,357,358
348,347,357,270
115,116,107,48
178,188,187,270
178,187,177,270
178,177,187,186
531,477,469,468
195,205,204,289
195,187,278,186
341,420,349,340
341,427,349,420
341,421,427,420
94,98,95,41
492,425,497,498
383,448,466,457
383,466,392,457
520,475,466,457
520,466,448,457
520,456,475,457
520,448,456,457
520,456,465,475
495,424,491,423
495,424,430,496
181,107,116,48
181,115,116,107
343,341,427,349
343,341,421,427
265,182,116,191
25,31,5,3
25,63,64,72
25,31,81,5
25,81,80,72
25,81,31,80
387,461,470,469
387,470,396,469
402,467,401,392
318,402,401,392
144,80,81,72
309,310,298,299
309,402,318,392
73,81,82,32
73,81,25,72
73,25,81,32
73,144,81,72
73,81,144,82
73,25,64,72
55,12,17,64
55,54,17,12
55,17,63,64
55,17,54,63
480,486,540,544
480,486,544,487
338,246,333,337
338,333,246,247
326,338,334,247
326,333,338,247
161,246,168,167
161,249,246,167
462,470,387,461
556,564,584,585
556,507,584,564
422,421,343,339
422,343,421,427
300,301,290,215
528,536,465,527
528,465,518,527
400,401,318,410
529,520,465,475
529,465,528,536
354,431,346,355
354,430,346,431
354,431,355,439
354,430,431,439
354,355,363,439
364,277,383,373
364,448,363,440
364,448,383,363
364,383,277,363
364,363,355,440
364,363,277,355
537,542,483,410
279,357,278,270
279,280,357,270
279,278,187,270
279,187,280,270
279,280,375,357
279,280,187,205
279,187,195,205
279,278,195,187
279,290,375,291
279,375,280,291
279,205,195,289
279,195,278,289
279,290,205,289
279,205,290,291
279,280,205,291
523,514,561,513
261,270,348,358
261,188,178,270
261,253,178,262
261,178,177,270
261,178,253,177
426,349,427,420
426,349,420,340
426,348,349,340
426,420,425,340
426,425,348,340
426,492,493,498
426,425,492,498
426,420,492,425
433,347,348,425
433,348,347,357
433,497,425,498
433,425,426,498
433,348,426,425
433,426,434,498
433,426,348,434
433,434,348,358
433,348,357,358
59,51,52,106
37,81,31,5
38,82,81,32
38,39,82,32
38,81,5,32
38,81,37,5
34,39,82,90
34,91,39,90
99,98,95,167
99,95,161,167
99,161,168,167
130,131,204,205
250,171,253,262
385,215,290,289
385,300,290,215
403,469,477,468
404,396,387,313
404,387,396,469
404,322,396,313
404,477,403,469
312,302,225,313
312,225,302,301
312,387,302,313
312,403,404,320
312,404,387,313
312,387,404,469
312,404,403,469
312,469,403,468
312,403,394,468
321,312,225,313
321,322,404,313
321,404,312,313
321,312,404,320
9,52,59,51
207,196,280,291
314,387,396,313
153,229,161,238
160,95,98,167
160,94,98,95
160,161,95,167
160,153,94,95
160,161,153,95
160,153,161,238
160,237,153,238
6,10,52,53
6,10,9,52
152,160,153,94
152,153,160,237
546,493,492,498
502,503,496,439
502,503,553,496
502,496,430,439
502,495,430,496
548,424,495,496
548,491,495,424
548,502,553,496
548,495,502,496
455,379,380,446
455,454,379,446
455,446,456,518
455,454,446,518
455,456,465,518
455,518,465,527
455,454,518,527
455,307,380,390
287,298,383,373
287,383,277,373
372,448,371,363
372,383,448,363
372,371,448,457
372,448,383,457
372,383,287,298
449,448,364,440
449,383,448,466
449,383,364,448
447,456,446,518
447,456,371,446
447,448,371,456
447,520,448,456
447,371,448,439
353,424,495,423
353,430,495,424
353,345,424,423
353,346,430,424
353,345,346,424
273,360,359,351
273,360,369,359
255,250,349,262
255,341,343,349
255,250,341,349
263,255,349,262
263,255,343,349
263,343,255,264
263,343,264,351
263,264,273,351
180,115,181,107
180,189,181,115
180,189,263,181
370,369,360,446
370,380,369,446
499,493,546,498
499,507,506,555
444,506,499,507
444,499,506,498
554,561,514,513
515,514,554,561
515,506,554,514
515,524,523,561
515,523,514,561
7,54,53,48
7,53,6,48
62,53,54,48
62,54,116,48
62,17,54,53
62,54,17,63
62,124,115,116
62,115,53,48
62,116,115,48
535,587,571,572
535,587,581,534
535,473,536,527
535,571,528,572
535,526,473,527
535,534,473,526
535,536,528,527
535,528,571,527
535,571,526,527
578,587,535,572
578,535,587,581
578,535,528,572
578,528,535,536
303,302,387,313
303,387,314,313
393,467,402,392
393,298,383,392
393,383,298,373
393,402,309,392
393,309,402,310
393,309,298,392
393,298,309,310
393,298,310,299
393,373,298,299
213,309,298,299
213,214,223,299
213,223,310,299
213,310,309,299
213,223,309,310
213,298,287,299
133,125,62,63
389,380,379,294
389,455,380,390
389,380,455,379
389,378,304,294
389,379,378,294
117,116,182,191
117,182,118,191
117,62,54,116
117,62,125,63
117,55,54,63
117,54,62,63
288,277,287,194
288,287,277,373
288,298,373,299
288,287,298,299
288,298,287,373
288,214,213,299
288,213,287,299
288,287,213,214
552,553,510,560
552,510,559,560
509,502,447,510
509,447,446,518
509,510,447,518
539,534,540,580
539,480,540,534
539,471,534,580
539,538,471,580
412,403,404,477
412,404,403,320
327,400,318,410
325,229,316,238
325,324,333,238
415,486,480,487
416,338,333,337
416,333,324,337
245,324,333,337
245,333,246,337
245,246,249,337
245,333,324,238
245,333,161,246
245,161,249,246
245,249,336,337
245,161,333,238
245,160,161,238
245,237,160,238
245,249,161,167
245,160,249,167
245,161,160,167
245,235,237,331
245,160,237,235
239,168,246,247
239,168,161,246
239,333,326,247
239,246,333,247
239,161,333,246
239,325,326,333
239,333,161,238
239,161,229,238
239,325,333,238
239,229,325,238
155,163,156,91
248,168,239,247
472,471,462,526
472,462,471,470
472,471,539,470
472,473,534,526
472,534,471,526
472,539,471,534
472,473,480,534
472,480,539,534
575,471,538,580
575,576,471,580
575,471,576,524
569,575,576,524
569,515,524,563
569,524,515,561
533,471,534,526
533,534,535,526
533,587,535,534
533,576,471,524
533,535,571,526
533,535,587,571
533,569,524,563
533,569,576,524
489,427,421,420
489,426,427,420
489,426,493,427
489,546,493,492
489,492,426,420
489,493,426,492
451,459,450,522
451,513,523,522
451,450,513,522
451,514,523,513
451,450,514,513
140,290,301,215
140,301,290,291
140,302,301,291
140,302,225,301
140,205,290,215
140,290,205,291
140,204,205,215
140,204,131,205
206,140,131,205
206,205,196,291
206,196,207,291
206,140,205,291
577,534,471,580
577,471,576,580
577,540,534,580
577,587,533,534
577,533,587,576
577,533,471,534
577,533,576,471
577,540,581,534
577,581,587,534
586,572,571,585
586,528,571,572
474,529,465,475
474,465,529,536
474,542,537,410
474,401,400,410
474,537,401,410
474,401,537,475
362,430,354,439
362,354,363,439
362,363,371,439
362,372,371,363
362,372,285,371
362,285,372,286
530,537,401,475
530,475,401,466
530,401,467,466
377,462,387,461
532,470,461,469
532,470,462,461
532,471,462,470
532,531,575,538
532,575,471,538
532,471,575,524
532,531,477,469
532,477,531,538
532,471,539,538
532,539,471,470
254,349,348,340
254,348,261,340
254,261,348,349
254,261,349,262
254,253,261,262
254,341,349,340
254,341,250,349
254,349,250,262
254,250,253,262
260,347,348,270
260,348,261,270
260,261,177,270
260,348,347,340
260,261,348,340
260,254,261,340
