1,33,34
33,66,34
33,65,66
34,66,67
65,98,66
98,99,66
98,131,99
66,99,67
65,97,98
97,130,98
97,129,130
98,130,131
67,99,100
99,132,100
99,131,132
100,132,133
129,162,130
162,163,130
162,195,163
130,163,131
195,196,163
196,164,163
196,197,164
163,164,131
195,228,196
228,229,196
228,261,229
196,229,197
131,164,132
164,165,132
164,197,165
132,165,133
129,161,162
161,194,162
161,193,194
162,194,195
193,226,194
226,227,194
226,259,227
194,227,195
193,225,226
225,258,226
225,257,258
226,258,259
195,227,228
227,260,228
227,259,260
228,260,261
133,165,166
165,198,166
165,197,198
166,198,199
197,230,198
230,231,198
230,263,231
198,231,199
197,229,230
229,262,230
229,261,262
230,262,263
199,231,232
231,264,232
231,263,264
232,264,265
257,290,258
290,291,258
290,323,291
258,291,259
323,324,291
324,292,291
324,325,292
291,292,259
323,356,324
356,357,324
356,389,357
324,357,325
259,292,260
292,293,260
292,325,293
260,293,261
389,390,357
390,358,357
390,391,358
357,358,325
391,359,358
359,326,358
359,327,326
358,326,325
391,392,359
392,360,359
392,393,360
359,360,327
325,326,293
326,294,293
326,327,294
293,294,261
389,422,390
422,423,390
422,455,423
390,423,391
455,456,423
456,424,423
456,457,424
423,424,391
455,488,456
488,489,456
488,521,489
456,489,457
391,424,392
424,425,392
424,457,425
392,425,393
261,294,262
294,295,262
294,327,295
262,295,263
327,328,295
328,296,295
328,329,296
295,296,263
327,360,328
360,361,328
360,393,361
328,361,329
263,296,264
296,297,264
296,329,297
264,297,265
257,289,290
289,322,290
289,321,322
290,322,323
321,354,322
354,355,322
354,387,355
322,355,323
321,353,354
353,386,354
353,385,386
354,386,387
323,355,356
355,388,356
355,387,388
356,388,389
385,418,386
418,419,386
418,451,419
386,419,387
451,452,419
452,420,419
452,453,420
419,420,387
451,484,452
484,485,452
484,517,485
452,485,453
387,420,388
420,421,388
420,453,421
388,421,389
385,417,418
417,450,418
417,449,450
418,450,451
449,482,450
482,483,450
482,515,483
450,483,451
449,481,482
481,514,482
481,513,514
482,514,515
451,483,484
483,516,484
483,515,516
484,516,517
389,421,422
421,454,422
421,453,454
422,454,455
453,486,454
486,487,454
486,519,487
454,487,455
453,485,486
485,518,486
485,517,518
486,518,519
455,487,488
487,520,488
487,519,520
488,520,521
265,297,298
297,330,298
297,329,330
298,330,331
329,362,330
362,363,330
362,395,363
330,363,331
329,361,362
361,394,362
361,393,394
362,394,395
331,363,364
363,396,364
363,395,396
364,396,397
393,426,394
426,427,394
426,459,427
394,427,395
459,460,427
460,428,427
460,461,428
427,428,395
459,492,460
492,493,460
492,525,493
460,493,461
395,428,396
428,429,396
428,461,429
396,429,397
393,425,426
425,458,426
425,457,458
426,458,459
457,490,458
490,491,458
490,523,491
458,491,459
457,489,490
489,522,490
489,521,522
490,522,523
459,491,492
491,524,492
491,523,524
492,524,525
397,429,430
429,462,430
429,461,462
430,462,463
461,494,462
494,495,462
494,527,495
462,495,463
461,493,494
493,526,494
493,525,526
494,526,527
463,495,496
495,528,496
495,527,528
496,528,529
513,546,514
546,547,514
546,579,547
514,547,515
579,580,547
580,548,547
580,581,548
547,548,515
579,612,580
612,613,580
612,645,613
580,613,581
515,548,516
548,549,516
548,581,549
516,549,517
645,646,613
646,614,613
646,647,614
613,614,581
647,615,614
615,582,614
615,583,582
614,582,581
647,648,615
648,616,615
648,649,616
615,616,583
581,582,549
582,550,549
582,583,550
549,550,517
645,678,646
678,679,646
678,711,679
646,679,647
711,712,679
712,680,679
712,713,680
679,680,647
711,744,712
744,745,712
744,777,745
712,745,713
647,680,648
680,681,648
680,713,681
648,681,649
517,550,518
550,551,518
550,583,551
518,551,519
583,584,551
584,552,551
584,585,552
551,552,519
583,616,584
616,617,584
616,649,617
584,617,585
519,552,520
552,553,520
552,585,553
520,553,521
777,778,745
778,746,745
778,779,746
745,746,713
779,747,746
747,714,746
747,715,714
746,714,713
779,780,747
780,748,747
780,781,748
747,748,715
713,714,681
714,682,681
714,715,682
681,682,649
781,749,748
749,716,748
749,717,716
748,716,715
717,684,716
684,683,716
684,651,683
716,683,715
717,685,684
685,652,684
685,653,652
684,652,651
715,683,682
683,650,682
683,651,650
682,650,649
781,782,749
782,750,749
782,783,750
749,750,717
783,751,750
751,718,750
751,719,718
750,718,717
783,784,751
784,752,751
784,785,752
751,752,719
717,718,685
718,686,685
718,719,686
685,686,653
649,650,617
650,618,617
650,651,618
617,618,585
651,619,618
619,586,618
619,587,586
618,586,585
651,652,619
652,620,619
652,653,620
619,620,587
585,586,553
586,554,553
586,587,554
553,554,521
777,810,778
810,811,778
810,843,811
778,811,779
843,844,811
844,812,811
844,845,812
811,812,779
843,876,844
876,877,844
876,909,877
844,877,845
779,812,780
812,813,780
812,845,813
780,813,781
909,910,877
910,878,877
910,911,878
877,878,845
911,879,878
879,846,878
879,847,846
878,846,845
911,912,879
912,880,879
912,913,880
879,880,847
845,846,813
846,814,813
846,847,814
813,814,781
909,942,910
942,943,910
942,975,943
910,943,911
975,976,943
976,944,943
976,977,944
943,944,911
975,1008,976
1008,1009,976
1008,17,1009
976,1009,977
911,944,912
