1,10,13,4;1,10,11,2;10,13,14,11;13,4,5,14;4,1,2,5;2,11,14,5
2,11,14,5;2,11,12,3;11,14,15,12;14,5,6,15;5,2,3,6;3,12,15,6
4,13,16,7;4,13,14,5;13,16,17,14;16,7,8,17;7,4,5,8;5,14,17,8
5,14,17,8;5,14,15,6;14,17,18,15;17,8,9,18;8,5,6,9;6,15,18,9
10,19,22,13;10,19,20,11;19,22,23,20;22,13,14,23;13,10,11,14;11,20,23,14
11,20,23,14;11,20,21,12;20,23,24,21;23,14,15,24;14,11,12,15;12,21,24,15
13,22,25,16;13,22,23,14;22,25,26,23;25,16,17,26;16,13,14,17;14,23,26,17
14,23,26,17;14,23,24,15;23,26,27,24;26,17,18,27;17,14,15,18;15,24,27,18
