154,181,182;154,181,189;154,182,189;189,181,182
133,97,105;133,97,98;133,105,98;98,97,105
133,104,105;133,104,97;133,105,97;97,104,105
133,126,97;133,126,98;133,97,98;98,126,97
133,126,125;133,126,97;133,125,97;97,126,125
133,104,97;133,104,132;133,97,132;132,104,97
133,97,125;133,97,132;133,125,132;132,97,125
133,167,168;133,167,140;133,168,140;140,167,168
133,139,167;133,139,140;133,167,140;140,139,167
133,139,132;133,139,167;133,132,167;167,139,132
133,161,168;133,161,167;133,168,167;167,161,168
133,132,160;133,132,167;133,160,167;167,132,160
133,160,161;133,160,167;133,161,167;167,160,161
133,160,132;133,160,153;133,132,153;153,160,132
133,161,160;133,161,153;133,160,153;153,161,160
133,154,161;133,154,153;133,161,153;153,154,161
133,126,154;133,126,153;133,154,153;153,126,154
133,132,125;133,132,153;133,125,153;153,132,125
133,125,126;133,125,153;133,126,153;153,125,126
134,135,169;134,135,163;134,169,163;163,135,169
134,128,135;134,128,163;134,135,163;163,128,135
134,156,128;134,156,163;134,128,163;163,156,128
134,169,156;134,169,163;134,156,163;163,169,156
134,141,169;134,141,135;134,169,135;135,141,169
134,162,156;134,162,169;134,156,169;169,162,156
134,149,156;134,149,155;134,156,155;155,149,156
134,127,149;134,127,155;134,149,155;155,127,149
134,156,162;134,156,155;134,162,155;155,156,162
134,156,149;134,156,128;134,149,128;128,156,149
134,121,149;134,121,127;134,149,127;127,121,149
134,149,121;134,149,128;134,121,128;128,149,121
134,100,128;134,100,93;134,128,93;93,100,128
134,99,100;134,99,93;134,100,93;93,99,100
134,127,99;134,127,93;134,99,93;93,127,99
134,106,100;134,106,99;134,100,99;99,106,100
134,121,127;134,121,93;134,127,93;93,121,127
134,128,121;134,128,93;134,121,93;93,128,121
134,135,107;134,135,113;134,107,113;113,135,107
134,128,107;134,128,135;134,107,135;135,128,107
134,141,135;134,141,113;134,135,113;113,141,135
134,107,100;134,107,113;134,100,113;113,107,100
134,100,107;134,100,128;134,107,128;128,100,107
134,100,106;134,100,113;134,106,113;113,100,106
