1144,1129,1262;1262,1129,1117;1117,1144,1262;1117,1129,1144
1120,1119,1250;1250,1119,1235;1235,1120,1250;1235,1119,1120
1251,1133,1250;1250,1133,1236;1236,1251,1250;1236,1133,1251
1120,1133,1250;1250,1133,1132;1132,1120,1250;1132,1133,1120
1120,1235,1250;1250,1235,1236;1236,1120,1250;1236,1235,1120
1133,1120,1250;1250,1120,1236;1236,1133,1250;1236,1120,1133
1119,1120,1250;1250,1120,1132;1132,1119,1250;1132,1120,1119
1131,1118,1250;1250,1118,1132;1132,1131,1250;1132,1118,1131
1131,1249,1250;1250,1249,1118;1118,1131,1250;1118,1249,1131
1118,1119,1250;1250,1119,1132;1132,1118,1250;1132,1119,1118
1235,1119,1250;1250,1119,1118;1118,1235,1250;1118,1119,1235
1249,1234,1250;1250,1234,1118;1118,1249,1250;1118,1234,1249
1234,1235,1250;1250,1235,1118;1118,1234,1250;1118,1235,1234
1251,1236,1351;1351,1236,1366;1366,1251,1351;1366,1236,1251
1251,1235,1351;1351,1235,1236;1236,1251,1351;1236,1235,1251
1236,1352,1351;1351,1352,1366;1366,1236,1351;1366,1352,1236
1365,1251,1351;1351,1251,1366;1366,1365,1351;1366,1251,1365
1250,1235,1351;1351,1235,1251;1251,1250,1351;1251,1235,1250
1365,1250,1351;1351,1250,1251;1251,1365,1351;1251,1250,1365
1352,1470,1469;1469,1470,1366;1366,1352,1469;1366,1470,1352
1484,1483,1469;1469,1483,1366;1366,1484,1469;1366,1483,1484
1470,1484,1469;1469,1484,1366;1366,1470,1469;1366,1484,1470
1483,1365,1469;1469,1365,1366;1366,1483,1469;1366,1365,1483
1365,1352,1469;1469,1352,1366;1366,1365,1469;1366,1352,1365
1365,1351,1469;1469,1351,1352;1352,1365,1469;1352,1351,1365
1483,1484,1469;1469,1484,1599;1599,1483,1469;1599,1484,1483
1484,1470,1469;1469,1470,1599;1599,1484,1469;1599,1470,1484
1584,1583,1469;1469,1583,1599;1599,1584,1469;1599,1583,1584
1470,1584,1469;1469,1584,1599;1599,1470,1469;1599,1584,1470
1598,1483,1469;1469,1483,1599;1599,1598,1469;1599,1483,1598
1583,1598,1469;1469,1598,1599;1599,1583,1469;1599,1598,1583
1666,1665,1777;1777,1665,1650;1650,1666,1777;1650,1665,1666
1763,1778,1777;1777,1778,1666;1666,1763,1777;1666,1778,1763
1651,1666,1777;1777,1666,1650;1650,1651,1777;1650,1666,1651
1763,1651,1777;1777,1651,1650;1650,1763,1777;1650,1651,1763
1651,1763,1777;1777,1763,1666;1666,1651,1777;1666,1763,1651
1762,1763,1777;1777,1763,1650;1650,1762,1777;1650,1763,1762
1682,1966,1780;1780,1966,1668;1668,1682,1780;1668,1966,1682
1779,1667,1780;1780,1667,1966;1966,1779,1780;1966,1667,1779
1966,1667,1780;1780,1667,1668;1668,1966,1780;1668,1667,1966
1794,1779,1780;1780,1779,1966;1966,1794,1780;1966,1779,1794
1682,1794,1780;1780,1794,1966;1966,1682,1780;1966,1794,1682
1795,1794,1780;1780,1794,1682;1682,1795,1780;1682,1794,1795
1806,1807,1921;1921,1807,1821;1821,1806,1921;1821,1807,1806
1936,1822,1921;1921,1822,1807;1807,1936,1921;1807,1822,1936
1922,1936,1921;1921,1936,1807;1807,1922,1921;1807,1936,1922
1936,1935,1921;1921,1935,1821;1821,1936,1921;1821,1935,1936
1822,1936,1921;1921,1936,1821;1821,1822,1921;1821,1936,1822
1807,1822,1921;1921,1822,1821;1821,1807,1921;1821,1822,1807
1935,102,1921;1921,102,101;101,1935,1921;101,102,1935
102,89,1921;1921,89,101;101,102,1921;101,89,102
1922,90,1921;1921,90,102;102,1922,1921;102,90,1922
1936,1922,1921;1921,1922,102;102,1936,1921;102,1922,1936
1936,102,1921;1921,102,1935;1935,1936,1921;1935,102,1936
102,90,1921;1921,90,89;89,102,1921;89,90,102
542,558,441;441,558,543;543,542,441;543,558,542
542,557,441;441,557,558;558,542,441;558,557,542
557,542,441;441,542,440;440,557,441;440,542,557
542,425,441;441,425,440;440,542,441;440,425,542
425,542,441;441,542,543;543,425,441;543,542,425
426,425,441;441,425,543;543,426,441;543,425,426
103,102,91;91,102,1937;1937,103,91;1937,102,103
1922,1936,91;91,1936,102;102,1922,91;102,1936,1922
1936,1922,91;91,1922,1937;1937,1936,91;1937,1922,1936
102,1936,91;91,1936,1937;1937,102,91;1937,1936,102
90,1922,91;91,1922,102;102,90,91;102,1922,90
1922,1923,91;91,1923,1937;1937,1922,91;1937,1923,1922
529,530,412;412,530,514;514,529,412;514,530,529
515,399,412;412,399,398;398,515,412;398,399,515
515,398,412;412,398,514;514,515,412;514,398,515
515,530,412;412,530,413;413,515,412;413,530,515
530,515,412;412,515,514;514,530,412;514,515,530
399,515,412;412,515,413;413,399,412;413,515,399
104,92,1938;1938,92,103;103,104,1938;103,92,104
1923,91,1938;1938,91,92;92,1923,1938;92,91,1923
1924,1923,1938;1938,1923,92;92,1924,1938;92,1923,1924
103,1923,1938;1938,1923,1937;1937,103,1938;1937,1923,103
92,91,1938;1938,91,103;103,92,1938;103,91,92
91,1923,1938;1938,1923,103;103,91,1938;103,1923,91
1795,1794,1808;1808,1794,1908;1908,1795,1808;1908,1794,1795
1795,1924,1808;1808,1924,1809;1809,1795,1808;1809,1924,1795
1923,1924,1808;1808,1924,1908;1908,1923,1808;1908,1924,1923
1909,1795,1808;1808,1795,1908;1908,1909,1808;1908,1795,1909
1795,1909,1808;1808,1909,1924;1924,1795,1808;1924,1909,1795
1924,1909,1808;1808,1909,1908;1908,1924,1808;1908,1909,1924
1937,1823,1808;1808,1823,1824;1824,1937,1808;1824,1823,1937
1924,1824,1808;1808,1824,1809;1809,1924,1808;1809,1824,1924
1924,1923,1808;1808,1923,1937;1937,1924,1808;1937,1923,1924
1924,1938,1808;1808,1938,1824;1824,1924,1808;1824,1938,1924
1938,1924,1808;1808,1924,1937;1937,1938,1808;1937,1924,1938
1938,1937,1808;1808,1937,1824;1824,1938,1808;1824,1937,1938
1793,1907,1808;1808,1907,1908;1908,1793,1808;1908,1907,1793
1807,1907,1808;1808,1907,1793;1793,1807,1808;1793,1907,1807
1794,1793,1808;1808,1793,1908;1908,1794,1808;1908,1793,1794
1907,1922,1808;1808,1922,1908;1908,1907,1808;1908,1922,1907
1807,1922,1808;1808,1922,1907;1907,1807,1808;1907,1922,1807
1922,1923,1808;1808,1923,1908;1908,1922,1808;1908,1923,1922
1922,1936,1808;1808,1936,1937;1937,1922,1808;1937,1936,1922
1936,1922,1808;1808,1922,1807;1807,1936,1808;1807,1922,1936
1936,1823,1808;1808,1823,1937;1937,1936,1808;1937,1823,1936
1822,1936,1808;1808,1936,1807;1807,1822,1808;1807,1936,1822
1923,1922,1808;1808,1922,1937;1937,1923,1808;1937,1922,1923
1936,1822,1808;1808,1822,1823;1823,1936,1808;1823,1822,1936
214,2038,200;200,2038,100;100,214,200;100,2038,214
2038,88,200;200,88,100;100,2038,200;100,88,2038
213,199,200;200,199,2038;2038,213,200;2038,199,213
199,87,200;200,87,2038;2038,199,200;2038,87,199
213,2038,200;200,2038,214;214,213,200;214,2038,213
87,88,200;200,88,2038;2038,87,200;2038,88,87
214,100,74;74,100,201;201,214,74;201,100,214
100,89,74;74,89,201;201,100,74;201,89,100
214,88,74;74,88,100;100,214,74;100,88,214
186,214,74;74,214,201;201,186,74;201,214,186
186,200,74;74,200,214;214,186,74;214,200,186
200,88,74;74,88,214;214,200,74;214,88,200
228,339,324;324,339,338;338,228,324;338,339,228
227,338,324;324,338,323;323,227,324;323,338,227
227,228,324;324,228,338;338,227,324;338,228,227
2032,227,324;324,227,323;323,2032,324;323,227,2032
227,2032,324;324,2032,228;228,227,324;228,2032,227
2032,213,324;324,213,228;228,2032,324;228,213,2032
198,310,324;324,310,311;311,198,324;311,310,198
199,198,324;324,198,311;311,199,324;311,198,199
310,198,324;324,198,323;323,310,324;323,198,310
199,2032,324;324,2032,198;198,199,324;198,2032,199
198,2032,324;324,2032,323;323,198,324;323,2032,198
213,2032,324;324,2032,199;199,213,324;199,2032,213
1316,1432,1330;1330,1432,1433;1433,1316,1330;1433,1432,1316
1448,1331,1330;1330,1331,1433;1433,1448,1330;1433,1331,1448
1448,1433,1330;1330,1433,1447;1447,1448,1330;1447,1433,1448
1433,1432,1330;1330,1432,1447;1447,1433,1330;1447,1432,1433
1317,1316,1330;1330,1316,1433;1433,1317,1330;1433,1316,1317
1331,1317,1330;1330,1317,1433;1433,1331,1330;1433,1317,1331
1479,1346,1463;1463,1346,1464;1464,1479,1463;1464,1346,1479
1359,1360,1463;1463,1360,1478;1478,1359,1463;1478,1360,1359
1478,1360,1463;1463,1360,1479;1479,1478,1463;1479,1360,1478
1360,1346,1463;1463,1346,1479;1479,1360,1463;1479,1346,1360
1360,1345,1463;1463,1345,1346;1346,1360,1463;1346,1345,1360
1360,1359,1463;1463,1359,1345;1345,1360,1463;1345,1359,1360
1448,1331,1463;1463,1331,1447;1447,1448,1463;1447,1331,1448
1330,1331,1463;1463,1331,1344;1344,1330,1463;1344,1331,1330
1344,1331,1463;1463,1331,1345;1345,1344,1463;1345,1331,1344
1344,1462,1463;1463,1462,1447;1447,1344,1463;1447,1462,1344
1331,1330,1463;1463,1330,1447;1447,1331,1463;1447,1330,1331
1330,1344,1463;1463,1344,1447;1447,1330,1463;1447,1344,1330
1358,1359,1463;1463,1359,1478;1478,1358,1463;1478,1359,1358
1358,1477,1463;1463,1477,1344;1344,1358,1463;1344,1477,1358
1358,1344,1463;1463,1344,1345;1345,1358,1463;1345,1344,1358
1358,1478,1463;1463,1478,1477;1477,1358,1463;1477,1478,1358
1359,1358,1463;1463,1358,1345;1345,1359,1463;1345,1358,1359
1477,1462,1463;1463,1462,1344;1344,1477,1463;1344,1462,1477
549,666,534;534,666,1951;1951,549,534;1951,666,549
666,651,534;534,651,1951;1951,666,534;1951,651,666
534,417,432;432,417,1951;1951,534,432;1951,417,534
549,534,432;432,534,1951;1951,549,432;1951,534,549
417,307,432;432,307,1951;1951,417,432;1951,307,417
307,320,432;432,320,1951;1951,307,432;1951,320,307
564,549,432;432,549,1951;1951,564,432;1951,549,564
447,564,432;432,564,1951;1951,447,432;1951,564,447
320,334,432;432,334,1951;1951,320,432;1951,334,320
334,447,432;432,447,1951;1951,334,432;1951,447,334
535,549,432;432,549,550;550,535,432;550,549,535
417,535,432;432,535,418;418,417,432;418,535,417
418,535,432;432,535,550;550,418,432;550,535,418
433,418,432;432,418,550;550,433,432;550,418,433
